time,npos,epos,h,alpha,beta,phi,theta,psi,p,q,r,TAS,ail,ele,rud,thrust,ail_cmd,ele_cmd,rud_cmd,thrust_cmd,vn,ve,vh,mu,chi,nx,ny,nz,nx_ref,ny_ref,nz_ref,Fx,Fy,Fz,Mx,My,Mz,lon,lat,lef,lef_cmd,Cz,delta_Cz_lef,Czq,delta_Czq_lef,Cm,delta_Cm_lef,Cmq,delta_Cmq_lef,delta_Cm,delta_Cm_ds,d0,d1,d2,d3,d4,d5,d6,d7,d8,d9
0.000000,0.000000,0.000000,5000.000000,2.613221,0.000000,0.000000,2.613221,0.000000,0.000000,0.000000,0.000000,200.000000,-0.300000,3.645892,0.000000,73895.049995,-0.300000,3.645892,0.000000,73895.049995,200.000000,0.000000,0.000000,0.000000,0.000000,0.712351,-0.001066,-1.191350,0.666758,-0.001066,-0.192390,-8936.963244,-97.231806,-108637.111191,2321.713865,-66032.450051,407.574159,122.425000,31.425000,0.000000,0.000000,-0.242671,-0.067683,-30.022644,-0.393024,-0.093299,0.035138,-5.464321,0.260453,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.100000,20.000000,0.000000,5000.000000,2.550665,-0.000300,0.000000,2.613221,0.000000,1.037708,-4.999604,0.043445,200.644804,0.039469,3.408034,0.039400,73891.582984,0.039469,3.408034,0.039400,73891.582984,200.644685,-0.001049,0.219064,0.062556,-0.000300,0.709551,0.000603,-1.085639,0.663958,0.000603,-0.086679,-9188.814264,55.026292,-98997.558376,-810.856877,-57020.447278,-265.853721,122.425000,31.425180,0.000000,0.000000,-0.235708,-0.067858,-30.010133,-0.369253,-0.090857,0.035090,-5.464696,0.260203,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.200000,40.064468,-0.000105,5000.021906,2.018170,0.000148,0.103931,2.113260,0.003894,0.674475,-9.316828,0.026640,201.291718,-0.141816,2.195115,0.023828,73887.996423,-0.141816,2.195115,0.023828,73887.996423,201.295437,0.001344,0.334086,0.095095,0.000382,0.705603,-0.000297,-0.828904,0.668728,0.001515,0.170414,-9545.287469,-27.123799,-75586.357293,771.754826,-34929.225020,59.363722,122.425000,31.425361,0.000000,0.000000,-0.185592,-0.069349,-29.903634,-0.166905,-0.078829,0.034674,-5.467891,0.258073,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.300000,60.194012,0.000029,5000.055315,1.127472,0.000284,0.171391,1.181590,0.004320,1.018920,-11.961456,0.044034,201.953220,-0.027942,0.758653,0.039347,73884.274611,-0.027942,0.758653,0.039347,73884.274611,201.968956,0.004340,0.190782,0.054126,0.001231,0.697226,0.000173,-0.501621,0.676605,0.003163,0.498162,-10305.458989,15.755274,-45741.941164,-292.604508,-11709.536316,-167.579402,122.425000,31.425542,0.000000,0.000000,-0.109453,-0.071843,-29.725494,0.171561,-0.065387,0.033979,-5.473235,0.254510,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.400000,80.390908,0.000463,5000.074393,0.066263,-0.001234,0.273283,-0.014538,0.004082,0.887454,-12.847993,0.046393,202.626457,-0.092526,-0.606963,0.042988,73880.560503,-0.092526,-0.606963,0.042988,73880.560503,202.658022,0.008954,-0.285775,-0.080807,0.002531,0.675915,0.000006,-0.167329,0.676169,0.004776,0.832660,-12245.002425,0.542577,-15258.397943,291.765676,8156.910266,-96.131123,122.425000,31.425724,0.000000,0.000000,-0.024139,-0.074813,-29.513253,0.574820,-0.053431,0.033152,-5.479602,0.250265,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.500000,100.656710,0.001359,5000.045816,-0.987734,-0.004442,0.362059,-1.299330,0.001598,1.017092,-12.230353,0.056597,203.290723,-0.047769,-1.735689,0.055379,73877.130007,-0.047769,-1.735689,0.055379,73877.130007,203.332519,0.012055,-1.105779,-0.311656,0.003397,0.666721,0.000547,0.147005,0.689396,0.006865,1.146728,-13080.042292,49.892168,13405.143721,-75.472998,20845.437113,-258.322497,122.425000,31.425907,0.000000,0.000000,0.051392,-0.067882,-29.500000,1.212395,-0.045556,0.033615,-5.073054,0.769548,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.600000,120.989962,0.002564,4999.935238,-1.890407,-0.009941,0.463878,-2.522381,-0.001560,0.981991,-10.651989,0.054706,203.947529,-0.062706,-2.663598,0.059177,73874.144604,-0.062706,-2.663598,0.059177,73874.144604,203.985483,0.013534,-2.249991,-0.632112,0.003802,0.660693,0.000975,0.398192,0.704702,0.009063,1.397190,-13626.723702,88.920671,36310.403956,109.971888,29480.137936,-313.338858,122.425000,31.426090,0.000000,0.000000,0.114644,-0.061374,-29.500000,1.772052,-0.040037,0.034089,-4.701152,1.244354,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.700000,141.388510,0.003918,4999.710239,-2.564263,-0.016119,0.562299,-3.587608,-0.005634,1.029117,-8.419859,0.047871,204.593252,-0.041987,-3.287358,0.059202,73871.783836,-0.041987,-3.287358,0.059202,73871.783836,204.608757,0.012164,-3.654726,-1.023550,0.003406,0.656641,0.001520,0.566386,0.719215,0.011314,1.564378,-13993.863116,138.592224,51647.761749,-47.609534,34108.403156,-408.423351,122.425000,31.426274,0.000000,0.000000,0.160882,-0.056513,-29.500000,2.189843,-0.037007,0.034447,-4.423524,1.598803,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.800000,161.849386,0.005134,4999.344766,-2.967970,-0.022346,0.665513,-4.429621,-0.009879,1.005187,-5.837313,0.031258,205.229436,-0.048752,-3.581290,0.050478,73870.168002,-0.048752,-3.581290,0.050478,73870.168002,205.202871,0.008016,-5.235775,-1.461878,0.002238,0.654458,0.001867,0.644837,0.731693,0.013448,1.641782,-14191.252893,170.261943,58801.545273,30.670744,35167.240511,-412.595254,122.425000,31.426458,0.000000,0.000000,0.187806,-0.053597,-29.500000,2.440141,-0.036082,0.034664,-4.257196,1.811152,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
0.900000,182.369673,0.005936,4998.821189,-3.092193,-0.026920,0.766379,-5.013363,-0.014062,1.015960,-3.174626,0.011315,205.862871,-0.042282,-3.556549,0.037103,73869.347589,-0.042282,-3.556549,0.037103,73869.347589,205.776854,0.001323,-6.902137,-1.921364,0.000368,0.654027,0.002073,0.635432,0.741415,0.015398,1.631518,-14229.733849,189.072205,57943.979728,-34.162641,32980.238350,-391.118262,122.425000,31.426643,0.000000,0.000000,0.195187,-0.052696,-29.500000,2.517160,-0.036854,0.034734,-4.206017,1.876494,0.019000,0.000000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
